සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය,පරිවර්තනය
125,[6] පරුමක-අභිඣිය ලෙණ‌ෙ චුඩ-තිශහ ලෙණ‌ෙ ශගයෙ නියතෙ,"ප්‍රමුඛ අභිජිගේ ලෙණ‌, චුල්ල-තිස්සගේ ලෙණ‌ සංඝයාට පිරිනමන ලදී."
126,[7] (1) බත-ශතහ ලෙණ‌ෙ පරුමක-අබහ ලෙණ‌ෙ ශගශ(2) අගත-අනගත-චතුදිශ-ශගශ,"ස්වාමි සාතගේ ලෙණ‌, ප්‍රමුඛ අභයගේ ලෙණ‌ සංඝයාට [දෙන ලදී]. පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට."
127,[8] (1) පරුමක-චනිශත-ශුමන-පුතහ පරුමක-පටකණ-ශතශ(2) ශගස,ප්‍රමුඛ චනිසත සුමනගේ පුත් වන ප්‍රමුඛ පටකණ සතගේ [ලෙන] සංඝයාට [දෙන ලදී]
128,[9] බත-නගහ ලෙණ‌ෙ ශගශ මතලිගමික-පුත ගමික-තිශහ ලෙණ‌ෙ,ස්වාමි නාගගේ ලෙණ සංඝයාට [දෙන ලදී]. මාතලිගාම හි ගම ප්‍රධානිගේ පුත් වන ගම ප්‍රධානි තිස්සගේ ලෙණ‌.
129,[10] බත-නගහ ලෙණ‌ෙ,ස්වාමි නාගගේ ලෙණ‌
130,[11] පරුමක-බම-පුත පරුමක-තිශහ ලෙණ‌ෙ ශගශ,ප්‍රමුඛ භාමගේ පුත් වන ප්‍රමුඛ තිස්සගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
131,[12] පරුමක-තිශ-පුතහ ලෙණ‌ෙ ශගශ දුතකහ,"ප්‍රමුඛ තිස්සගේ පුතුගේ ලෙණ‌ සංඝයාට [දෙන ලදී], දූතයාගේ"
132,[13] බත-නගහ ලෙණ‌ෙ ශගශ,ස්වාමි නාගගේ ලෙණ‌ සංඝයාට [දෙන ලදී]
133,[14] [න]ගහ ලෙණ‌ෙ ශගශ,නාගගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
133a,[15] (1) පරුමක-ශමුදහ ලෙණ‌ෙ අගත-අනගත-(2)   ශගශ,ප්‍රමුඛ සමුද්ධගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට [දෙන ලදී]
134,[1] ගමික-තිශහ ලෙණ‌ෙ,ගම් ප්‍රධානි තිස්සගේ ලෙණ
135,[2] තුබඩ-වශක-පුගියන ලෙණ‌ෙ,තුබඩ ශ්‍රේණි සාමාජිකයින්ගේ ලෙණ‌
136,බත-විශදෙවහ ලෙණ‌ෙ,ස්වාමි විශදෙවගේ ලෙණ‌
137,බරත-තිශ-ගුතහ ලෙණ‌ෙ ශගශ,ස්වාමි තිස්සගුත්තගේ ලෙණ‌ සංඝයාට [දෙන ලදී]
138,[1] අලි-පවතහි පුගියන ලිණ‌ෙ ශගශ,අලිපවතහි ශ්‍රේණි සාමාජිකයින්ගේ ලෙණ‌ සංඝයාට [දෙන ලදී]
139,[2] ගමික-දුහතර-පුත ගමික-අබයහ ලෙණ‌ෙ ශගශ නියතෙ,ගම් ප්‍රධානි දුහතරගේ පුත් ගම් ප්‍රධානි අභයගේ ලෙණ‌ සංඝයාට පිළිගන්වන ලදී.
140,[1] උපශික ශොමලිය ලෙණ‌ෙ,උපාසක සොමලිගේ ලෙණ‌
141,[2] පරුමක-රකි-පුත-මහතිශහ ලෙණ‌ෙ ශගශ,ප්‍රමුඛ රකිගේ පුත් වන මහාතිස්සගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
142,පරුමක-වියග-පුත පුණහ ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ,ප්‍රමුඛ වියගගේ පුත් වන පුණ්ණගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
143,[1] ගපති-ගුටක-තිශ-පුතහ යටි-උතිරික-මහතිශහ ලෙණ‌ෙ,ගෘහපති ගුටක තිස්සගේ පුත් වන යටි-උතිරික මහාතිස්සගේ ලෙණ‌.
144,[2] බරත දිග-කශබහ ලෙණ‌ෙ,ස්වාමි දීඝ කස්සපගේ ලෙණ‌
145,[3] ගපති-පෙරක-කුලහ ලෙණ‌ෙ,ගෘහපති පෙරකගේ ගුරු කුලයෙහි ලෙණ‌
146,[4] බරත-ශවිටදතහ පුතහ රකිතහ ලෙණ‌ෙ ශගශ,ස්වාමි සවිට්ඨ-දත්තගේ පුත් වන රක්ඛිතගේ ලෙණ‌ සංඝයාට [දෙන ලදී]
147,[1] බත-අබිඣිගුතහ ලෙණ‌ෙ,ස්වාමි අභිජි-ගුත්තගේ ලෙණ‌
148,[2] පරුමක-දත-ඣිත පරුමක-බගිනිය-නදිකශ ඣය පරුමකලු-ශමණය ලෙණ‌ෙ අගත-අනගත චතු-දිශ-ශගශ දිනෙ,"ප්‍රමුඛ දත්තගේ දියණිය, ප්‍රමුඛගේ සොයුරියගේ පුත් නන්දිකගේ භාර්යාව වන ප්‍රමුඛාවිය සමණගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී]"
149,[3] ගමික-නගහ ලෙණ‌ෙ ශගශ දුපටකෙ,ගම් ප්‍රධානි නාගගේ ලෙණ සංඝයාට [දෙන ලදී]. බිම් කොටස් දෙකක් [පූජා කරන ලදී]
150,[4]ගමික-නග-පුත-ශුමනහ ලෙණ‌ෙ පටකෙ ශයෙ,ගම් ප්‍රධානි නාගගේ පුත් වන සුමනගේ ලෙණ‌. කොටස් හයකි.
151,[5] (1) ශුමන-තෙරහ ලෙණ‌ෙ(2) ශගශ,සුමන තෙරුණ්ගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
152,[6] පරුමක-ශිවහ ලෙණ‌ෙ චතු-[දි]ශ-ශගශ,ප්‍රමුඛ සිවගේ ලෙණ‌ සතරදිග සංඝයාට දෙන ලදී.
153,[7] පරුමක-ශිවහ ලෙණ‌ෙ ශගශ,ප්‍රමුඛ සිවගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
154,දමගුත-තෙරශ ශදිවිහරිය දත-තෙරශ [ලෙ]ණ‌ෙ චතු-දිශ-ශගශ,ධම්මගුත්ත තෙරුණ්ගේ ශිෂ්‍ය වන දත්ත තෙරුණ්ගේ ලෙණ‌ සතරදිග සංඝයාට [දෙන ලදී].
155,[9] අනද-තෙරහ ලෙණ‌ෙ ශගශ,ආනන්ද තෙරුණ්ගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
156,[10] පරුමක-නදික-ඣිත පරුමක-ශොණ-ඣය උපශික-රොණිය ලෙණ‌ෙ ශගශ දිනෙ,ප්‍රමුඛ නන්දිකගේ දියණිය වන ප්‍රමුඛ සොණගේ භාර්යාව වන උපාසිකා රොණි (රොහිණී) ගේ ලෙණ‌ සංඝයාට දෙන ලදී.
157,[11] (1) ක[ඩි]තිහ ලෙණ‌ෙ අගත-අනගත-(2) චතු-දිශ-ශගශ,කඩිතිගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
158,[12] (1) ඉම ලෙණ‌ෙ (2) ශදය ලෙණ‌ෙ පරුමක පුශහ ච (3) ගමික මඣිමහ ච (4) බගිනයතිශහ ච (5) ගමික තිශහ ච (6) ගමික අබහ ච,මෙම ලෙණ‌ ප්‍රමුඛ ඵුස්සගේ ද ගම් ප්‍රධානි මජ්ඣිමගේ ද භාගිනෙය තිස්සගේ ද ගම් ප්‍රධානි තිස්සගේ ද ගම් ප්‍රධානි අභයගේ ද සාමූහික පිළිගැන්වීමකි.
159,[13] (1) බ[ත]-න[ග]හ ච බත-ශුමනහ ච බත-ශුමන-ගුතහ ච(2) පරුමක-දත-ඣිය උපශික රම ලෙණ‌ෙ ශගශ අග[ත]- (3) අනගතශ (4) සමණි-පලය ච අශ-දම-ගුතහ ච (5) .........රහ ච,ස්වාමි නාග ගේ ද ස්වාමි සුමනගේ ද ස්වාමි සුමනගුත්තගේ ද ප්‍රමුඛ දත්තගේ දියණිය වන උපාසිකා රාමාගේ ද ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට දෙන ලදී. එසේම භික්ෂුණි පාලාගේ සහ ආයුෂ්මත් ධම්මගුත්තගේ සහ ..........  රහගේ
160,[14] චලල-ලෙණ‌ෙ නම අගත-අනගත-චතු-දිශ-ශගශ,චලල නම් ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
161,[15] පරුමක-ශගයමතහ ලෙණ‌ෙ,"ප්‍රමුඛ, අමාත්‍ය සගයගේ ලෙණ‌"
161a,[16] ගමික-පුශහ ලෙණ‌ෙ ශගශ,ගම් ප්‍රධානි ඵුස්සගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
161b,[17] ශුමන-ශමණිය ලෙණ‌ෙ චතු-දිශ-ශගශ,සුමනා තෙරණියගේ ලෙණ‌ සතරදෙස සංඝයාට [දෙන ලදී].
161c,[18] (1) (උප)ශික අනුඩිය (උ)ඵ(ශික) චිතය(2) ගමි(ක)-කඩශිව-පුතහ ගමික-තිශහ විශරෙ,"උපාසිකා අනුඩිගේ, උපාසිකා චිත්තාගේ, ගම ප්‍රධානි කාල-සිවගේ පුත් වන ගම් ප්‍රධානි තිස්සගේ විහාරය."
161d,[19] කබර-පුශහ මලහ,කම්මල්කරු ඵුස්සගේ සහ මලගේ
162,(1) පරුමක-ශබ-පුත උපශක-රකිය ලෙණ‌ෙ(2) අගත-අනාගත- (3) චතු-දිශ-ශගශ,ප්‍රමුඛ සබගේ පුත් වන උපාසක රකිගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට සතරදිග සංඝයාට [දෙන ලදී].
163,පරුමක-ශොණහ ශගශ,ප්‍රමුඛ සොණගේ [ලෙන] සංඝයාට [දෙන ලදී].
164,[1] ගපති-පුශහ ලෙණ‌ෙ,ගෘහපති ඵුස්සගේ ලෙණ‌
165,[2] ගමික-අබය-ඣිත උපශික-ශුමනය ලෙණ‌ෙ,ගම් ප්‍රධානි අභයගේ දියණිය වන උපාසිකා සුමනාගේ ලෙණ‌
166,[1] (සංකේත අංක14) පරුමක නදික-පුත පරුමක-මිතහ ලෙණ‌ෙ ම[හ]-ශුදශනෙ අගත-අනගත-චතු-දි[ස]- ශගශ දිනෙ,ප්‍රමුඛ නන්දිකගේ පුත් වන ප්‍රමුඛ මිත්තගේ මහා-සුදස්සන (නම්) ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
167,[2] (1) බත-මිතදෙවහ ලෙණ‌ෙ(2) බත-මිතදෙවහ ලෙණ‌ෙ මනපදශනෙ අගත-අනගත චතු-දිශ-ශගශ දිනි,ස්වාමි මිත්තදේවගේ ලෙණ‌. ස්වාමි මිත්තදේවගේ මනාපදස්සන නම් ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
168,[3](1) එරකපි-ගමික-පුත ගමික තිශ-පුති උතිය ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ දිනි(2) දමරඣශ උපට (සංකේත අංක15සහ16b),එරකපිහි ගම් ප්‍රධානිගේ පුත් වන  ගම් ප්‍රධානි තිස්සගේ පුත් වන උත්තියගේ ලෙණ‌ පැමිණියාවූත් නොපමිනියවූත් සතරදෙස සංඝයාට දෙන ලදී. ධම්මරාජගේ
